USIP/N,ManufacturerName,ManufacturerP/N
06-200070-03,MURATA,GJM0335C1HR20WB01D
06-300000-04,MURATA,GJM0335C1HR30WB01D
06-300005-01,MURATA,GJM0335C1HR40WB01D
06-300185-05,MURATA,GJM0335C1HR50WB01D
06-200097-03,MURATA,GJM0335C1HR60WB01D
06-200065-02,MURATA,GJM0335C1HR70WB01D
06-200066-02,MURATA,GJM0335C1HR80WB01D
06-200905-02,MURATA,GJM0335C1HR90WB01D
06-201061-02,MURATA,GJM0335C1H1R1BB01D
06-201097-02,MURATA,GJM0335C1H1R3BB01D
06-301015-01,MURATA,GJM0335C1H1R4BB01D
06-301000-02,MURATA,GJM0335C1H1R6BB01D
06-201127-01,MURATA,GJM0335C1H1R7BB01D
06-201126-01,MURATA,GJM0335C1H1R9BB01D
06-302091-06,MURATA,GJM0335C1H2R0BB01D
06-202096-01,MURATA,GJM0335C1H2R1BB01D
06-202097-01,MURATA,GJM0335C1H2R3BB01D
06-202090-03,MURATA,GJM0335C1H2R4BB01D
06-202095-01,MURATA,GJM0335C1H2R5BB01D
06-202098-01,MURATA,GJM0335C1H2R6BB01D
06-202099-01,MURATA,GJM0335C1H2R8BB01D
06-302003-01,MURATA,GJM0335C1H2R9BB01D
06-303004-01,MURATA,GJM0335C1H3R0BB01D
06-303005-01,MURATA,GJM0335C1H3R1BB01D
06-303008-01,MURATA,GJM0335C1H3R2BB01D
06-303009-01,MURATA,GJM0335C1H3R4BB01D
06-303006-01,MURATA,GJM0335C1H3R5BB01D
06-303010-01,MURATA,GJM0335C1H3R6BB01D
06-303007-01,MURATA,GJM0335C1H3R7BB01D
06-204029-03,MURATA,GJM0335C1H4R3BB01D
06-204061-01,MURATA,GJM0335C1H4R8BB01D
06-205087-01,MURATA,GJM0335C1H5R1BB01D
06-206053-04,MURATA,GJM0335C1H6R2BB01D
06-207013-02,MURATA,GJM0335C1E7R5BB01D
06-209010-03,MURATA,GJM0335C1E9R1BB01D
27-196109-03,MURATA,LQP03TG11NH02D
27-191166S02,MURATA,LQP03TG12NH02D
27-196110-02,MURATA,LQP03TG13NH02D
27-100096-07,MURATA,LQP03TG15NH02D
27-196111-04,MURATA,LQP03TG16NH02D
27-192111-07,MURATA,LQP03TG18NH02D
27-194906-02,MURATA,LQP03TG20NH02D
27-095216-04,MURATA,LQP03TG22NH02D
27-197227-04,MURATA,LQP03TG24NH02D
27-192109-02,MURATA,LQP03TG27NH02D
27-133004-05,MURATA,LQP03TG33NJ02D
27-191024-05,MURATA,LQP03TG39NJ02D
27-100066-05,MURATA,LQP03TG47NJ02D
27-047218-02,MURATA,LQP03TG3N7B02D
27-191251-04,MURATA,LQP03TG3N8B02D
27-191847-07,MURATA,LQP03TG3N9B02D
27-191232-04,MURATA,LQP03TG4N3H02D
27-047215-04,MURATA,LQP03TG4N7H02D
27-100094-06,MURATA,LQP03TG5N1H02D
27-192112-02,MURATA,LQP03TG5N6H02D
27-191844-03,MURATA,LQP03TG6N2H02D
27-190840-05,MURATA,LQP03TG6N8H02D
27-190845-05,MURATA,LQP03TG7N5H02D
27-190843-08,MURATA,LQP03TG8N2H02D
27-192110-02,MURATA,LQP03TG9N1H02D
27-047216-01,MURATA,LQP03TG10NH02D
06-201032-06,MURATA,GRM0335C1H1R0CA01D
